code,dept,number,name,credits,semester,prereqs,description
AR4012,AR,4012,Battalion Staff Operations II,1.0,Spring,,"Develops personal confidence and advanced leadership ability using basic and advanced military skills. Students are given responsibility for planning and controlling the activities of the cadet battalion. Applied creativity, problem solving, decision making, and leadership are the cornerstones of this course. This course will require 4 days, 3 nights, training at Fort McCoy in April and 1 Saturday in March."
AR4100,AR,4100,Special Topics Leadership Development,1.0,On Demand,,"Study and discussion of topics in Military Leadership not included in regular undergraduate courses. This course will require the support of one weekend training event up to 3 nights, 4 days, in length such as: Fall Field and Tactical Exercise, Ranger Challenge, or Super Lab."
AR4200,AR,4200,Leadership Development,1.0,Spring,,"Study and discussion of Military Leadership. This course will require the support of one weekend training event up to 3 nights, 4 days, in length such as: Spring Field and Tactical Exercise, Ranger Buddy, or Super Lab."
ART1000,ART,1000,Art Appreciation,3.0,"Fall, Spring, Summer",,"Introduces students to analytical tools to critically observe the visual world. By studying arts media, artists and designers, creative and technical processes, principles of design, as well as major works of art, students will express their own ideas about the visual experience in written and visual form."
ART1100,ART,1100,Drawing I,3.0,"Fall, Summer",,"Exploration of fundamental principles of drawing. Develop skills in representational drawing, perspective, and composition. Develop creative and modern drawing techniques using a wide range of subject matter. Presentations and discussions illustrate classic principles. Course encourages development of individual expression."
ART1110,ART,1110,Art + Design Studio,3.0,Fall,,"Introduction to art and  design. Explores design principles and creative problem solving using multiple materials. Students also examine design's ability to shape and interpret information. Hands-on studio work, lectures, and discussions. Emphasizes creativity, inventiveness, and experimentation."
ART1850,ART,1850,Special Arts Activities for Wellness + Success,1.0,"Fall, Spring, Summer",,"Essential Ed, arts wellness (topics vary). Students work on creative projects to support personal wellness. Examples include: weaving/fiber arts; craft workshops; singing; group music-making' community arts projects; special theatre projects."
ART1855,ART,1855,Special Arts Workshop for Wellness + Success,0.5,"Fall, Spring, Summer",,Essential Ed arts wellness (topics vary). Students work on creative projects to support personal wellness. Examples include: weaving/fiber arts; craft workshops; singing; group music-making; community arts projects; special theatre projects.
ART2100,ART,2100,Drawing II,3.0,Spring,ART1100 or ART1110 or ART2130 or ART2160 or ART2190 or ART2195 or ART3130 or ART3180 or ART3190 or ART4450,"Observational and imaginative drawing including the human figure and abstraction techniques. Contemporary drawing systems, concepts, and processes. Emphasis is on proportion, structural framework, visual measurement, movement, and relationships. Students work in a variety of drawing media."
ART2110,ART,2110,Art on Site,3.0,"Spring, in even years",,"Focused on making works of art ""on location"" - in forests, community centers, museums, theatres, and as special projects in unique spaces. Students explore different materials, and ask open-ended ideas about how art is made and what it can be."
ART2140,ART,2140,Ceramics I,3.0,"Fall, Summer",,"Introduces hand building ceramic techniques, including coil, slab, pinch and wheel throwing. The goal is to allow students to be individually creative through experimenting with the possibilities in three-dimensional form. Historical, contemporary, functional and sculpture processes will be explored."
ART2145,ART,2145,Beginning Wheel Throwing,3.0,"Fall, Spring, Summer",,"Students will learn the fundamental techniques of using a pottery wheel, as a tool, to shape clay into utilitarian and sculptural forms. Historical and contemporary practices will support each individuals' creative abilities."
ART2170,ART,2170,Fiber Arts,3.0,On Demand,,"A foundation course in fiber art techniques, concepts, history, and theories. Conceptual development will be emphasized as students learn to use contemporary fiber techniques in their studio arts practice. Media covered includes sewing and embroidery, dyeing, felting, knitting and crocheting, printing, and soft sculpture."
ART2195,ART,2195,Art &amp; Flora: Visual Taxonomies of Terrestrial &amp; Aquatic Ecosystems,3.0,"Fall, in odd years",,"Immersive field trips to nature spaces and museums provide opportunities for basic photography. Cyanotypes, and making ink from natural sources. Draw and paint using natural links and watercolors. Work with foundational principles of art and design while developing your artistic sensibility."
ART2201,ART,2201,Art History,3.0,On Demand,,"An open-ended survey of the history of art and arts practices. Class puts traditional/well-known movements (Greek architecture, the Renaissance) in context with global cultural works, and examines both traditional and contemporary arts."
ART2350,ART,2350,Scenic Art &amp; Scenic Illustration,3.0,"Spring, in even years",,"Large-scale drawing and painting for theatre, opera, museums, and special projects, such as community murals. Emphasis is on matching a designer's vision or ""scaling up"" a designer's rendering to very large scale. Includes a community/professional painting project."
ART2950,ART,2950,Creative Campus: Local Arts Immersion,3.0,Spring,,"Experiential arts learning. Students attend local/regional gallery exhibits, museums, design festivals, music events, and performances on campus and off; participating in and reflecting on cultural life. Art, music, theatre, and arts engagement. Includes events, discussions, and creative projects."
ART3130,ART,3130,Creative Drawing II,3.0,"Spring, in even years",ART1100 or ART1110 or ART2100 or ART2195 or ART3180 or ART4450,"Concentrated instruction on realistic drawing combined with methods for seeing the world anew. Combines basic drawing skills with practices of 'flow', 'mindfulness', and 'radical juxtaposition'. Sketch with your cellphone camera, make pencil, charcoal drawings, and collages only you can imagine"
ART3140,ART,3140,Creative Ceramics,3.0,Spring,ART1110 or ART2140 or ART2145 or ART2160 or ART2190 or ART2195 or ART3145 or ART3190 or ART3410 or ART3420,"Addresses ceramic theory, history, and science, and aims to develop the content and quality of students' work in clay. Students will learn new ways of creating forms through use of the wheel, molds, and study of clay and glaze technologies."
ART3145,ART,3145,Ceramic Sculpture,3.0,On Demand,ART1110 or ART2140 or ART2145 or ART2190 or ART2195 or ART3140 or ART3410 or ART3190,"Explores the material properties and expressive potential of clay. Learning a variety of sculptured techniques, students will demonstrate the ability to incorporate the elements and principles of art (line, space, form, harmony) to create works of art."
ART3180,ART,3180,"Color and Creativity: Exploring the Power of Color through Paint, Composition, and Design",3.0,Spring,ART1100 or ART1110 or ART2100 or ART2130 or ART2190 or ART2195 or ART2350 or ART3130 or ART3190,Use water-based paints to explore colors' expressive potential. Develop your personal color palette. Study color theory. Consider the visual and metaphorical power of color. Analyze colors in cultural contexts. Prior drawing experience highly recommended.
ART3190,ART,3190,"Art, Nature, and Contemplative Photography",3.0,Fall,,"Explore ""nature spaces"" and the ""unbuilt world"" through art using materials including cell phone photography and materials you find outdoors to create installations. Hikes provide inspiration and practice with creative fundamentals. Cultivate ""flow"" attentiveness, and learn visual analysis."
ART3410,ART,3410,Contemporary Sculpture Studio,3.0,"Spring, in even years",,"Introduction to contemporary sculpture using a range of materials and practices: wood, fiber, paper, found objects. Emphasizes sculptures' ability for storytelling and student's personal creative language. Class is in Rozsa student gallery; includes student exhibit at end of semester."
ART3420,ART,3420,World Sculpture Traditions,3.0,On Demand,ART1100 or ART1110 or ART2110 or ART2130 or ART2140 or ART2145 or ART2190 or ART2195 or ART2350 or ART3130 or ART3190,"Introduction to traditional ways of making sculpture around the world. Students develop studio skills while studying creative traditions from varied cultures. Hands-on studio work, lectures, discussions. Class takes place in Rozsa gallery; includes student exhibit at end of semester."
ART3850,ART,3850,Special Topics: Art,var,On Demand,,"Examines important themes, processes, and issues in art, including local and global traditions. Spans a variety of creative practices. Creative projects, lectures, readings, and discussions. May be repeated if topic differs."
ART3860,ART,3860,Advanced Special Topics: Art,var,On Demand,ART2190 or ART2130 or ART2100 or ART3140 or ART3145 or ART3410 or ART3420 or ART3180 or ART2130 or ART2195 or ART3190 or ART3130,"Advanced study of ideas, themes, and processes in studio art for students with significant arts background. Studio work, discussions, special projects. May be repeated if topic differs."
ART3900,ART,3900,Study Away: Regional Arts Immersion,var,On Demand,,"A U.S.-based travel course focused on experiential arts learning. Students study theatre, arts, music, design, architecture, and arts engagement, considering local, regional, and national contexts. Experiences include gallery exhibits, museums, design festivals, live performances; participating in and reflecting on cultural life."
ART3950,ART,3950,International Arts Immersion,var,On Demand,,"An International travel course focused on experiential arts learning. Students study theatre, art, music, design, architecture, and arts engagement, considering local traditions and international context. Experiences include gallery exhibits, museums, design festivals, live performances; participating in and reflecting on cultural life."
ART4410,ART,4410,Advanced Sculpture Studio,3.0,On Demand,ART3140 or ART3145 or ART3410 or ART3420,"Upper-level sculpture course focused on student's personal arts language and an open-ended idea of what ""sculpture"" can be. Class takes place in the Rozsa student gallery, and includes exhibit at end of semester."
ART4440,ART,4440,Advanced Ceramics,3.0,Spring,ART2140 or ART2145 or ART2190 or ART3140 or ART3145 or ART3410 or ART3420 or ART3190,"Students build on skills from prior hand-building, throwing, and ceramic sculpture coursework, developing greater technical skills and aesthetic sensibilities. Class also studies historic and contemporary ceramics, art criticism, and student's personal creative language."
ART4450,ART,4450,Advanced Creative Drawing and Painting Studio,3.0,"Spring, in odd years",(ART1100 or ART2100 or ART2130 or ART2195 or ART2350 or ART3130) and (ART3180 or FA3180),"Explores contemporary and traditional drawing and painting practices. Develops students' own arts language. Experiments with varied materials. Prepare to unlock your creativity and expand your definitions of ""drawing"" and ""painting"". Course emphases change each semester."
ART4700,ART,4700,Studio Research Assistant,var,On Demand,ART2100 or ART3140 or ART3180 or ART3410 or ART3420 or ART3145 or ART2130 or ART3130 or ART2195,"A special-project course. Students work as a studio/research assistant to art faculty on professional projects, such as gallery, field work, studio, or public art."
ART4800,ART,4800,Independent Study: Art,var,"Fall, Spring, Summer",,"Self-directed independent research project. Requires a written proposal setting out goals, plans for final project, and the resources required to complete the project."
BE2100,BE,2100,Undergraduate Biomedical Engineering Seminar,1.0,Fall,,"An overview of biomedical engineering designed especially for freshmen and sophomores that includes presentations by faculty, members of the community and other guest lecturers. Topics ranging from clinical engineering through basic biomedical engineering research are covered."
BE2110,BE,2110,Statistical Methods for Biomedical Engineering,3.0,Spring,MA1135 or MA1160 or MA1161 or MA1121,"Topics include descriptive statistics, sampling methods, probability, statistical inference, causality, elementary design of experiments, statistical process improvement methods including Six-Sigma techniques, clinical trial methodology, and variance analysis."
BE2400,BE,2400,Cellular and Molecular Biology,3.0,Fall,CH1150 and MA1160 or MA1161 or MA1121,"General principles and engineering applications of science and biology, including cell biology, physiology, molecular biology, genetics, and biotechnology."
BE2700,BE,2700,Biomedical Signals &amp; Systems,3.0,Fall,CH1150 and PH2100 and MA2160 and ENG1102,"Introduces the origin, processing and interpretation of biological signals. Mathematical modeling techniques used in the analysis of linear systems. Topics include: Fourier, Laplace and z-transforms, signal comparison techniques, power spectrum analysis, 2-dimensional signals, transfer functions, convolution, and simulations. Prerequisite of CH1150, MA2160, and PH2100 with a C or better is required."
BE2800,BE,2800,Biomaterials I: Fundamental Materials Science and Engineering,3.0,Spring,BE2400,"Introduction to the fundamental materials science principles and different classes of biomaterials (metals, ceramics, polymers and their composites), and some practical professional issues concerning the field of biomaterials."
BE3300,BE,3300,Biomechanics I: Statics and Dynamics,3.0,Fall,BE2400 and (MA2321 or MA2320 or MA2330) and (MA3521 or MA3520 or MA3530) and BL2010(C),"Course provides overview of two and three-dimensional force and structure systems and their applicability to human body. Course topics will include principle of equilibrium, concept of free-body diagram, moment of inertia, centroids. Kinematics and equations of motion, principle of energy, work and momentum. Course materials tailored for biological applications, particularly for applications at human organ level."
BE3350,BE,3350,Biomechanics II: Soft Tissue and Bio-Fluid Mechanics,3.0,Spring,BE3300,"This course teaches basic principles of mechanics that are closely related to human soft tissue and bio-flow, particularly, at the human organ level. Emphases are given to both engineering fundamentals and biomedical applications."
BE3400,BE,3400,Experimental Techniques in Biomedical Engineering,2.0,Fall,BE2800,"Introduction to the experimental techniques used in biomedical engineering, technical report writing, and record keeping."
BE3550,BE,3550,Fluid Mechanics,4.0,Spring,MA3160 and (MA3520 or MA3521) and BE3300,"This course introduces fundamental fluid mechanics principles in a unified fashion so that students can describe biological fluid problems in precise mathematical language. Topics include nature of fluids, hydrostatics, differential and integral equations about conservation of mass and momentum, dimensional analysis and various types of flow."
BE3700,BE,3700,Biomedical Instrumentation,3.0,Spring,EE3010 and PH2200(C) and BL2020(C) and BE2700,"Introductory theory of measurement and analysis from biological systems. Covers the principles and use of transducers, data recording and analysis systems and signal processing techniques. Example measurements include life science research and clinical measurements such as the vital signs."
BE3701,BE,3701,Biomedical Instrumentation Lab,1.0,Spring,,Laboratory exercises to demonstrate basic instrumentation principles and biomedical measurements. Students will learn how to make non-invasive measurements on themselves and how to evaluate measurement instrumentation. Course will coincide with BE3700 lectures.
BE3800,BE,3800,Biomaterials II: Properties and Biological Interactions,3.0,"Fall, Summer",BE2700(C) and BE2800,"Biomaterials properties including structure-function relationships (materials composition and properties), protein/cell materials interactions, characterization methods, and handling and processing considerations."
BE3981,BE,3981,LabVIEW Basics,1.0,"Fall, Spring",,"Learn how to program LabVIEW, a popular data acquisition and automation language used by engineers. Programming is done graphically which makes it easy to learn and use. Some of the topics covered: LabVIEW environment, how to construct graphical user interfaces, loops, debugging, writing data to disk and an intro to data acquistion."
BE4000,BE,4000,Independent Study,var,"Fall, Spring, Summer",,Students undertake an independent study under the guidance of a Biomedical Engineering faculty member. The course of study may either be research or academic and is decided upon between the student and faculty member.
BE4115,BE,4115,Finite Element Modeling,3.0,Spring,(MA2320 or MA2321) and (MA3520 or MA3521) and (BE3350 or MEEM2150),This course teaches both fundamentals of finite element theory and hands-on experience for bio engineers.
BE4200,BE,4200,Cellular and Molecular Biology II,3.0,"Spring, Summer",BE2400,"Covers, at an advanced level, the general principles and engineering applications of science and biology, including cell biology, physiology, molecular biology, genetics, and biotechnology."
BE4230,BE,4230,Stem Cell and Tissue Engineering,3.0,Spring,BE2400 and BE3350 and BE3800,"This course will introduce basic concepts of tissue engineering; scaffold materials and biotechnologies for tissue engineering; basic concept of stem cells; review of stem cell sources and related policies; current progress in stem cell research, and application of stem cells in tissue engineering and regenerative medicine."
BE4250,BE,4250,Biomedical Optics,3.0,"Spring, in even years",(MA2320 or MA2321 or MA2330) and (MA3520 or MA3521 or MA3530 or MA3560) and MA3160,"Light plays a significant role in modern clinical diagnostics and in the clinical treatment of disease. Examples include non-invasive surgery, optical biopsy, and cancer therapy. This course will focus on the study of how light propagates through biological tissue."
BE4300,BE,4300,Polymeric Biomaterials,3.0,"Spring, in odd years",BE3800,"This course focuses on the use of polymeric materials in biomedical engineering. Topics will include synthesis and characterization of polymers, structure-properties relationships, degradation behavior, and biomedical applications for polymeric biomaterials."
BE4330,BE,4330,Biomimetic Materials,3.0,"Fall, in even years",BE3350 and BE3800,This course introduces students to biologically inspired approaches to design functional biomaterials. Topics include the discovery and incorporation of biological designs into novel materials and their application in the biomedical field.
BE4335,BE,4335,Smart Polymers,3.0,"Fall, in odd years",BE3350 and BE3800,This course introduces students to smart polymers that change their physical properties in response to various environmental stimuli. Topics include the molecular origin of the stimuli responsiveness of these materials and their applications in the biomedical field.
BE4340,BE,4340,Biocompatibility,3.0,Fall,BE2400 or BE4200 or BE5200,Students will learn the general principles and biomedical engineering applications of biocompatibility. Students will be able to critically read the international standards in the are of biocompatibility.
